,url,title,author,text,results,score<br>
56,https://poets.org/poem/unforgotten,Unforgotten,Luis G. Dato,"I met and then forgot her<br>
With unremembered things,<br>
And thought if love could utter<br>
Once more its murmurings,<br>
Another one and not her<br>
Could pluck the muted strings.<br>
The years had passed long after<br>
That sweet romance and free––<br>
Kind years that seemed to waft her<br>
From painful memory,<br>
For she brought tears and laughter<br>
And sorrow, too, for me.<br>
I thought the pain and yearning<br>
Had gone away from mind,<br>
And cold the bosom burning<br>
With passion unresigned,<br>
Till I saw her returning<br>
With Love and Spring behind.",POSITIVE,0.9888508915901184<br>
57,https://poets.org/poem/tears-1,Tears,Luis G. Dato,"She felt alone<br>
In that garden unfrequented,<br>
Where the winds make moan<br>
For blossom sweetly scented,<br>
Perfumed but far away.<br>
And as the sunset died,<br>
Lost the last long twilight ray,<br>
She felt so lone and cried.<br>
Her face protesting revealed<br>
The trace of promises and prayers unreturned,<br>
Deep disillusions learned,<br>
Sorrows silence-sealed.<br>
And as she wept<br>
Like a lost child<br>
When the shadow of twilight crept<br>
On the forest wild,<br>
Not knowing the ground,<br>
As tears and tear-drops falling,<br>
Moistened the cheek of the night around,<br>
I called, she heard me calling,<br>
And longer cried in that garden frequented only<br>
By her spirit loving and lovely.",POSITIVE,0.8490098714828491<br>
58,https://poets.org/poem/lost-glimpses,Lost Glimpses,Luis G. Dato,"A fairy came out of the woods,<br>
A creature bewitchingly fair;<br>
A dress would have stolen the beauty<br>
Half-hid by the locks of her hair.<br>
She said that not far from the wilds,<br>
Where the rill gives itself to the brook,<br>
She had seen what for years I was searching<br>
In cavern and crevice and nook.<br>
She led me the way to a spring,<br>
Where to drink meant awakening love;<br>
A draught of the cool, magic waters<br>
Brought pleasure untasted above.<br>
Expectant, I closed on her steps,<br>
We came to the brook and the rill,<br>
But the spring was not there nor elsewhere,<br>
And the woodland was silent and still.<br>
Then sternly, not looking, I asked,<br>
“Where, O fairy, is that which I seek?”<br>
There was nothing but silence for answer,<br>
No fairy was there then to speak.",POSITIVE,0.6120306849479675<br>
59,https://poets.org/poem/parting,Parting,Luis G. Dato,"Upon a path we lingered<br>
When skies were overcast,<br>
She knew not I was doubting<br>
If love had come at last.<br>
In her I felt arising<br>
The pity Christ thought of––<br>
To me naught else did matter<br>
If only she could love.<br>
To me unkind was pity,<br>
And hurting, gratitude,<br>
My love was more than kindness,<br>
For thanks from her too good.<br>
She said in lasting friendship<br>
How happy we could be––<br>
She did not know her hatred<br>
Less painful were to me.<br>
I said if love she could not,<br>
’T were better to forget,<br>
That in the flush of summer,<br>
Upon that lane we met.",POSITIVE,0.995403528213501<br>
60,https://poets.org/poem/lost-bird,The Lost Bird,Carolina Coronado,"My bird has flown away,<br>
Far out of sight has flown, I know not where.<br>
Look in your lawn, I pray,<br>
Ye maidens, kind and fair,<br>
And see if my beloved bird be there.<br>
His eyes are full of light;<br>
The eagle of the rock has such an eye;<br>
And plumes, exceeding bright,<br>
Round his smooth temples lie,<br>
And sweet his voice and tender as a sigh.<br>
Look where the grass is gay<br>
With summer blossoms, haply there he cowers;<br>
And search, from spray to spray,<br>
The leafy laurel-bowers,<br>
For well he loves the laurels and the flowers.<br>
Find him, but do not dwell,<br>
With eyes too fond, on the fair form you see,<br>
Nor love his song too well;<br>
Send him, at once, to me,<br>
Or leave him to the air and liberty.<br>
For only from my hand<br>
He takes the seed into his golden beak,<br>
And all unwiped shall stand<br>
The tears that wet my cheek,<br>
Till I have found the wanderer I seek.<br>
My sight is darkened o’er,<br>
Whene’er I miss his eyes, which are my day,<br>
And when I hear no more<br>
The music of his lay,<br>
My heart in utter sadness faints away.<br>
Y de mis ojos ha desparecido! . . .<br>
¡Mirad si a vuestro huerto<br>
Mi pájaro querido,<br>
Niñas hermosas, por acaso ha huido!<br>
Sus ojos relucientes<br>
Son como los del águila orgullosa;<br>
Plumas resplandecientes<br>
En la cabeza airosa<br>
Lleva, y su voz es tierna y armoniosa.<br>
Mirad si cuidadoso<br>
Junto a las flores se escondió en la grama:<br>
Ese laurel frondoso<br>
Mirad rama por rama,<br>
Que él los laureles y las flores ama.<br>
Si le halláis por ventura,<br>
No os enamore su amoroso acento;<br>
No os prende su hermosura:<br>
Volvédmele al momento,<br>
O dejadle, si no, libre en el viento.<br>
Porque su pico de oro<br>
Sólo en mi mano toma la semilla,<br>
Y no enjugaré el lloro<br>
Que veis en mi mejilla<br>
Hasta encontrar mi prófuga avecilla.<br>
Mi vista se oscurece<br>
Si sus ojos no ve, que son mi día;<br>
Mi ánima desfallece<br>
Con la melancolía<br>
De no escucharle ya su melodía.",POSITIVE,0.701315701007843<br>
61,https://poets.org/poem/loss-3,Loss,John Wieners,"To live without the one you love<br>
an empty dream never known<br>
true happiness except as such youth<br>
watching snow at window<br>
listening to old music through morning.<br>
Riding down that deserted street<br>
by evening in a lonely cab<br>
past a blighted theatre<br>
oh god yes, I missed the chance of my life<br>
when I gasped, when I got up and<br>
rushed out the room<br>
away from you.",NEGATIVE,0.9973668456077576<br>
62,https://poets.org/poem/thing-happened,A Thing That Happened,Matt Mason,"“Oh, we had an intruder alert,”<br>
said my fourth grade daughter<br>
when I asked how school was.<br>
She said this<br>
after the usual shoulder shrug and mumble.<br>
My kindergarten daughter sang in, “Yeah,<br>
we did.”<br>
And I keep the car moving forward.<br>
Even though it feels like a bird<br>
just thwapped against a window in my chest<br>
and this car should stop<br>
now.<br>
Over the intercom, the same silver strainers in the ceilings as the school I went to a long<br>
time ago,<br>
a voice will say, “Mr. Snow, please come to the office,”<br>
and what is expected<br>
is that the teacher will sharply walk to the door<br>
and lock it, that every student in the room<br>
will hide, will be unseeable from the block of glass targeted above the doorknob.<br>
My fourth grader<br>
says everyone tried to fit<br>
in the prairie schooner the teacher and her husband built between the two bookcases,<br>
but there wasn’t room so she tried to squeeze herself alone<br>
behind the filing cabinet.<br>
They tell me this<br>
as no big thing.<br>
They tell me this<br>
like it’s line up, single file, quiet down,<br>
hands to yourself, march outside.<br>
They can’t say it<br>
like I do now. They don’t think about it<br>
like it’s a heartbreak<br>
poem,<br>
have no inclination to want to ask the NRA to give one actual moment of silence,<br>
no inclination to know the name of the school secretary in Atlanta who<br>
talked an AK-47 and a gym bag full of bullets<br>
onto the floor, no inclination to think of grade school teachers<br>
laying their bodies over students,<br>
arms out,<br>
lungs pulling in so hard<br>
they could make their backs<br>
as wide<br>
as wings.<br>
It’s my kindergartener.<br>
It’s my fourth grader.<br>
It’s another thing<br>
that happened<br>
today.",NEGATIVE,0.9967772364616394<br>
63,https://poets.org/poem/lives-saints,The Lives of the Saints,Julia B. Levine,"I stand at the kitchen sink, washing wineglasses.<br>
In the fifth century BCE, Heraclitus wrote that the way up<br>
is the way down. Like my five empty bottles of merlot in recycle<br>
and the depression I’d fallen into before quitting my job—<br>
clinical director of the county emergency shelter—<br>
which meant talking to children after their father lit them on fire,<br>
the foster parents forcing them to eat from a dog bowl on the floor<br>
while the biological kids ate at the dinner table.<br>
The saints were all about suffering: scourges, crucifixion, drownings.<br>
Nothing but death led a saint to give up on intercession.<br>
As for me, I’d seen my last four-point restraint of a preteen with HIV,<br>
last feral kid armed with a blade extracted from the pencil sharpener.<br>
Now I look out the kitchen window, remembering this one kid,<br>
her hair a dark forest of perfectly matched firs, her black eyes.<br>
In Catholicism, only an exercise of infallible magisterium makes a saint.<br>
Or to paraphrase Heraclitus, the pope decides if a saint’s way down<br>
is the way up. For ten years, that girl was returned to us after every failed<br>
placement, with a new tattoo or piercing for every john she’d tricked,<br>
only to hang herself on her eighteenth birthday.<br>
It was March, vernal equinox, first day of spring. Emancipated Minor,<br>
they called her at Social Services, meaning no money, nowhere to go.<br>
Did I already say she was extraordinarily beautiful?<br>
Before her, I thought beauty was easy to see. Something the spirit feasted on,<br>
while the saints starved themselves on behalf of the afflicted.<br>
Now I set the wineglasses on a clean towel to dry.<br>
Stare at the plum tree that secretly erupted into blossom overnight.<br>
I still can’t tell you the girl’s name, but I’m whispering it to myself.<br>
She taught me something true about beauty.<br>
It is not just those impossibly perfect stars of petals detonated all at once.<br>
It’s how you see the rain-dark branches when the white lace is gone.",NEGATIVE,0.9168601036071777<br>
68,https://poets.org/poem/two-six,Two-An’-Six,Claude McKay,"Merry voices chatterin’,<br>
Nimble feet dem patterin’,<br>
Big an’ little, faces gay,<br>
Happy day dis market day.<br>
Sateday, de marnin’ break,<br>
Soon, soon market-people wake;<br>
An’ de light shine from de moon<br>
While dem boy, wid pantaloon<br>
Roll up ober dem knee-pan,<br>
’Tep across de buccra lan’<br>
To de pastur whe’ de harse<br>
Feed along wid de jackass,<br>
An’ de mule cant’ in de track<br>
Wid him tail up in him back,<br>
All de ketchin’ to defy,<br>
No ca’ how dem boy might try.<br>
In de early marnin’-tide,<br>
When de cocks crow on de hill<br>
An’ de stars are shinin’ still,<br>
Mirrie by de fireside<br>
Hots de coffee for de lads<br>
Cornin’ ridin’ on de pads<br>
T’rown across dem animul—<br>
Donkey, harse too, an’ de mule,<br>
Which at last had come do’n cool.<br>
On de bit dem hol’ dem full:<br>
Racin’ ober pastur’ lan’,<br>
See dem comin’ ebery man,<br>
Comin’ fe de steamin’ tea<br>
Ober hilly track an’ lea.’<br>
Hard-wuk’d donkey on de road<br>
Trottin’ wid him ushal load,<br>
Hamper pack’ wi’ yam an’ grain,<br>
Sour-sop, and Gub’nor cane.<br>
Cous’ Sun sits in hired dray,<br>
Drivin’ ’long de market way;<br>
Whole week grindin’ sugar cane<br>
T’rough de boilin’ sun an’ rain,<br>
Now, a’ter de toilin’ hard, He goes seekin’ his reward,<br>
While he’s thinkin’ in him min’<br>
Of de dear ones lef’ behin’,<br>
Of de loved though ailin’ wife,<br>
Darlin’ treasure of his life,<br>
An’ de picknies, six in all,<br>
Whose ’nuff burdens ’pon him fall:<br>
Seben lovin’ ones in need,<br>
Seben hungry mouths fe feed;<br>
On deir wants he thinks alone,<br>
Neber dreamin’ of his own,<br>
But gwin’ on wid joyful face<br>
Till him re’ch de market-place.<br>
Sugar bears no price today,<br>
Though it is de mont’ o’ May,<br>
When de time is hellish hot,<br>
An’ de water cocoanut<br>
An’ de cane bebridge is nice,<br>
Mix’ up wid a lilly ice.<br>
Big an’ little, great an’ small,<br>
Afou yam is all de call;<br>
Sugar tup an’ gill a quart,<br>
Yet de people hab de heart<br>
Wantin’ brater top o’ i’,<br>
Want de sweatin’ higgler fe<br>
Ram de pan an’ pile i’ up,<br>
Yet sell i’ fe so-so tup.<br>
Cousin Sun is lookin’ sad,<br>
As de market is so bad;<br>
’Pon him han’ him res’ him chin,<br>
Quietly sit do’n thinkin’<br>
Of de loved wife sick in bed.<br>
An’ de children to be fed—<br>
What de laborers would say<br>
When dem know him couldn’ pay;<br>
Also what about de mill<br>
Whe’ him hire from old Bill;<br>
So him think, an’ think on so,<br>
Till him t’oughts no more could go.<br>
Then he got up an’ began<br>
Pickin’ up him sugar-pan:<br>
In his ears rang t’rough de din<br>
“Only two-an’-six a tin’.”<br>
What a tale he’d got to tell,<br>
How bad, bad de sugar sell!<br>
Tekin’ out de lee amount,<br>
Him set do’n an’ begin count<br>
All de time him min’ deh doubt<br>
How expenses would pay out;<br>
Ah, it gnawed him like de ticks,<br>
Sugar sell fe two-an’-six!<br>
So he journeys on de way,<br>
Feelin’ sad dis market day;<br>
No e’en buy a little cake<br>
To gi’e baby when she wake—<br>
Passin’ ’long de candy-shop<br>
’Douten eben mek a stop<br>
To buy drops fe las’y son,<br>
For de lilly cash nea’ done.<br>
So him re’ch him own a groun’.<br>
An’ de children scamper roun’,<br>
Each one stretchin’ out him han’,<br>
Lookin’ to de poor, sad man.<br>
Oh, how much he felt de blow,<br>
As he watched dem face fall low,<br>
When dem wait an’ nuttin’ came,<br>
An’ drew back deir han’s wid shame!<br>
But de sick wife kissed his brow:<br>
“Sun, don’t get down-hearted now;<br>
Ef we only pay expense<br>
We mus’ wuk we common-sense,<br>
Cut an’ carve, an’ carve an’ cut,<br>
Mek gill sarbe fe quattiewut;<br>
We mus’ try mek two ends meet<br>
Neber mind how hard be it.<br>
We won’t mind de haul an’ pull,<br>
While dem pickny belly full.”<br>
An’ de shadow lef’ him face,<br>
An’ him felt an inward peace,<br>
As he blessed his better part<br>
For her sweet an’ gentle heart:<br>
“Dear one o’ my heart, my breat’,<br>
Won’t I lub you to de deat’?<br>
When my heart is weak an’ sad,<br>
Who but you can mek it glad?”<br>
So dey kissed an’ kissed again,<br>
An’ deir t’oughts were not on pain,<br>
But was ’way down in de sout’<br>
Where dey’d wedded in deir yout’,<br>
In de marnin’ of deir life<br>
Free from all de grief an’ strife,<br>
Happy in de marnin’ light,<br>
Never thinkin’ of de night.<br>
So dey k’lated eberyt’ing;<br>
An’ de profit it could bring,<br>
A’ter all de business fix’,<br>
Was a princely two-an’-six.",NEGATIVE,0.9899469017982483<br>
69,https://poets.org/poem/so-quietly,“So Quietly”,Leslie Pinckney Hill,"News item from the<br>
New York Times<br>
on the lynching of a Negro at Smithville, Ga., December 21, 1919: “The train was boarded so quietly . . . that members of the train crew did not know that the mob had seized the Negro until informed by the prisoner’s guard after the train had left the town . . . A coroner’s inquest held immediately returned the verdict that West came to his death at the hands of unidentified men.”<br>
So quietly they stole upon their prey<br>
And dragged him out to death, so without flaw<br>
Their black design, that they to whom the law<br>
Gave him in keeping, in the broad, bright day,<br>
Were not aware when he was snatched away;<br>
And when the people, with a shrinking awe,<br>
The horror of that mangled body saw,<br>
“By unknown hands!” was all that they could say.<br>
So, too, my country, stealeth on apace<br>
The soul-blight of a nation. Not with drums<br>
Or trumpet blare is that corruption sown,<br>
But quietly—now in the open face<br>
Of day, now in the dark—and when it comes,<br>
Stern truth will never write, “By hands unknown.”",NEGATIVE,0.9726478457450867<br>
70,https://poets.org/poem/sleep-4,Before Sleep,Elsa Gidlow,"There is an autumn sadness upon me,<br>
A sadness of bared trees,<br>
And mist and delicate death of flowers.<br>
There is an autumn sadness upon me,<br>
A falling of leaves in my soul.<br>
There is an autumn sadness upon me,<br>
A dreamfulness in my heart,<br>
And a wistful sense of longing.<br>
There is faint moaning music<br>
Like cries of departing birds.<br>
There are trembling hands on my eyelids,<br>
A dim foreknowledge of tears<br>
And dreams, patterning ultimate slumber.<br>
There is an autumn sadness upon me,<br>
A falling of leaves in my soul.",POSITIVE,0.966060221195221<br>
71,https://poets.org/poem/relinquishment,Relinquishment,Elsa Gidlow,"Go her way, her quiet, quiet way,<br>
Her way is best for one so wistful-tired.<br>
My three-months’ lover, go with your<br>
world-sick heart,<br>
Your love-bruised flesh. I am no sanctuary.<br>
This hot mouth, these ardent, out-reaching arms,<br>
This hollow between my breasts, these<br>
hungry limbs,<br>
They are a cradle, a cradle of living flame;<br>
No haven for you, saddening after peace.<br>
I am not certain, no, nor soothing-safe.<br>
Mine is the shifting, perilous way of life.<br>
Pitiless, ever-changing, hazardous,<br>
My love insatiate and mutable.<br>
Go her way, her quiet, well-path’d way,<br>
Sit by her hearth-fire; let her keep you safe.<br>
Mine the unharbored heart, the uncharted<br>
passions;<br>
Mine, at the end a more than common peace.",POSITIVE,0.9517333507537842<br>
72,https://poets.org/poem/o-black-and-unknown-bards-0,O Black and Unknown Bards,James Weldon Johnson,"O black and unknown bards of long ago.<br>
How came your lips to touch the sacred fire?<br>
How, in your darkness, did you come to know<br>
The power and beauty of the minstrel’s lyre?<br>
Who first from midst his bonds lifted his eyes?<br>
Who first from out the still watch, lone and long,<br>
Feeling the ancient faith of prophets rise<br>
Within his dark-kept soul, burst into song?<br>
Heart of what slave poured out such melody<br>
As “Steal away to Jesus”? On its strains<br>
His spirit must have nightly floated free,<br>
Though still about his hands he felt his chains.<br>
Who heard great “Jordan roll”? Whose starward eye<br>
Saw chariot “swing low”? And who was he<br>
That breathed that comforting, melodic sigh,<br>
“Nobody knows de trouble I see”?<br>
What merely living clod, what captive thing,<br>
Could up toward God through all its darkness grope,<br>
And find within its deadened heart to sing<br>
These songs of sorrow, love and faith, and hope?<br>
How did it catch that subtle undertone,<br>
That note in music heard not with the ears?<br>
How sound the elusive reed so seldom blown,<br>
Which stirs the soul or melts the heart to tears.<br>
Not that great German master in his dream<br>
Of harmonies that thundered amongst the stars<br>
At the creation, ever heard a theme<br>
Nobler than “Go down, Moses.” Mark its bars<br>
How like a mighty trumpet-call they stir<br>
The blood. Such are the notes that men have sung<br>
Going to valorous deeds; such tones there were<br>
That helped make history when Time was young.<br>
There is a wide, wide wonder in it all,<br>
That from degraded rest and servile toil<br>
The fiery spirit of the seer should call<br>
These simple children of the sun and soil.<br>
O black slave singers, gone, forgot, unfamed,<br>
You—you alone, of all the long, long line<br>
Of those who’ve sung untaught, unknown, unnamed,<br>
Have stretched out upward, seeking the divine.<br>
You sang not deeds of heroes or of kings;<br>
No chant of bloody war, no exulting pean<br>
Of arms-won triumphs; but your humble strings<br>
You touched in chord with music empyrean.<br>
You sang far better than you knew; the songs<br>
That for your listeners’ hungry hearts sufficed<br>
Still live,—but more than this to you belongs:<br>
You sang a race from wood and stone to Christ.",POSITIVE,0.9886834025382996<br>
73,https://poets.org/poem/sandy-star,Sandy Star,William Stanley Braithwaite,"Sculptured Worship<br>
The zones of warmth around his heart,<br>
No alien airs had crossed;<br>
But he awoke one morn to feel<br>
The magic numbness of autumnal frost.<br>
His thoughts were a loose skein of threads,<br>
And tangled emotions, vague and dim;<br>
And sacrificing what he loved<br>
He lost the dearest part of him.<br>
In sculptured worship now he lives,<br>
His one desire a prisoned ache;<br>
If he can never melt again<br>
His very heart will break.<br>
II<br>
Laughing It Out<br>
He had a whim and laughed it out<br>
Upon the exit of a chance;<br>
He floundered in a sea of doubt—<br>
If life was real—or just romance.<br>
Sometimes upon his brow would come<br>
A little pucker of defiance;<br>
He totalled in a word the sum<br>
Of all man made of facts and science.<br>
And then a hearty laugh would break,<br>
A reassuring shrug of shoulder;<br>
And we would from his fancy take<br>
A faith in death which made life bolder.<br>
III<br>
Exit<br>
No, his exit by the gate<br>
Will not leave the wind ajar;<br>
He will go when it is late<br>
With a misty star.<br>
One will call, he cannot see;<br>
One will call, he will not hear;<br>
He will take no company<br>
Nor a hope or fear.<br>
We shall smile who loved him so—<br>
They who gave him hate will weep;<br>
But for us the winds will blow<br>
Pulsing through his sleep.<br>
IV<br>
The Way<br>
He could not tell the way he came,<br>
Because his chart was lost:<br>
Yet all his way was paved with flame<br>
From the bourne he crossed.<br>
He did not know the way to go,<br>
Because he had no map:<br>
He followed where the winds blow,—<br>
And the April sap.<br>
He never knew upon his brow<br>
The secret that he bore,—<br>
And laughs away the mystery now<br>
The dark’s at his door.<br>
V<br>
Onus Probandi<br>
No more from out the sunset,<br>
No more across the foam,<br>
No more across the windy hills<br>
Will Sandy Star come home.<br>
He went away to search it<br>
With a curse upon his tongue:<br>
And in his hand the staff of life,<br>
Made music as it swung.<br>
I wonder if he found it,<br>
And knows the mystery now—<br>
Our Sandy Star who went away,<br>
With the secret on his brow.",NEGATIVE,0.812274694442749<br>
74,https://poets.org/poem/dusk-song,Dusk Song,William Moore,"The garden is very quiet to-night,<br>
The dusk has gone with the Evening Star,<br>
And out on the bay a lone ship light<br>
Makes a silver pathway over the bar<br>
Where the sea sings low.<br>
I follow the light with an earnest eye,<br>
Creeping along to the thick far-away,<br>
Until it fell in the depths of the deep, dark sky<br>
With the haunting dream of the dusk of day<br>
And its lovely glow.<br>
Long nights, long nights and the whisperings of new ones,<br>
Flame the line of the pathway down to the sea<br>
With the halo of new dreams and the hallow of old ones,<br>
And they bring magic light to my love reverie<br>
And a lover’s regret.<br>
Tender sorrow for loss of a soft murmured word,<br>
Tender measure of doubt in a faint, aching heart,<br>
Tender listening for wind-songs in the tree heights heard<br>
When you and I were of the dusks a part,<br>
Are with me yet.<br>
I pray for faith to the noble spirit of Space,<br>
I sound the cosmic depths for the measure of glory<br>
Which will bring to this earth the imperishable race<br>
Of whom Beauty dreamed in the soul-toned story<br>
The Prophets told.<br>
Silence and love and deep wonder of stars<br>
Dust-silver the heavens from west to east,<br>
From south to north, and in a maze of bars<br>
Invisible I wander far from the feast,<br>
As night grows old.<br>
Half blind is my vision I know to the truth,<br>
My ears are half deaf to the voice of the tear<br>
That touches the silences as Autumn’s ruth<br>
Steals through the dusks of each returning year,<br>
A goodly friend.<br>
The Autumn, then Winter and wintertime’s grief!<br>
But the weight of the snow is the glistening gift<br>
Which loving brings to the rose and its leaf,<br>
For the days of the roses glow in the drift<br>
And never end.<br>
The moon has come.   Wan and pallid is she.<br>
The spell of half memories, the touch of half tears,<br>
And the wounds of worn passions she brings to me<br>
With all the tremor of the far-off years<br>
And their mad wrong.<br>
Yet the garden is very quiet to-night,<br>
The dusk has long gone with the Evening Star,<br>
And out on the bay the moon’s wan light<br>
Lays a silver pathway beyond the bar,<br>
Dear heart, pale and long.",POSITIVE,0.9610241651535034<br>
75,https://poets.org/poem/it-was-not-fate,It Was Not Fate,William Moore,"It was not fate which overtook me,<br>
Rather a wayward, wilful wind<br>
That blew hot for awhile<br>
And then, as the even shadows came, blew cold.<br>
What pity it is that a man grown old in life’s dreaming<br>
Should stop, e’en for a moment, to look into a woman’s eyes.<br>
And I forgot!<br>
Forgot that one’s heart must be steeled against the east wind.<br>
Life and death alike come out of the East:<br>
Life as tender as young grass,<br>
Death as dreadful as the sight of clotted blood.<br>
I shall go back into the darkness,<br>
Not to dream but to seek the light again.<br>
I shall go by paths, mayhap,<br>
On roads that wind around the foothills<br>
Where the plains are bare and wild<br>
And the passers-by come few and far between.<br>
I want the night to be long, the moon blind.<br>
The hills thick with moving memories,<br>
And my heart beating a breathless requiem<br>
For all the dead days I have lived.<br>
When the Dawn comes—Dawn, deathless, dreaming—<br>
I shall will that my soul must be cleansed of hate,<br>
I shall pray for strength to hold children close to my heart,<br>
I shall desire to build houses where the poor will know shelter, comfort, beauty.<br>
And then may I look into a woman’s eyes<br>
And find holiness, love and the peace which passeth understanding.",POSITIVE,0.9244183897972107<br>
76,https://poets.org/poem/weh-down-souf,’Weh Down Souf,Daniel Webster Davis,"O, de birds ar’ sweetly singin’,<br>
’Weh down Souf,<br>
An’ de banjer is a-ringin’,<br>
’Weh down Souf;<br>
An’ my heart it is a-sighin’,<br>
Whil’ de moments am a-flyin’.<br>
Fur my hom’ I am a-cryin’,<br>
’Weh down Souf.<br>
Dar de pickaninnies ’s playin’,<br>
’Weh down Souf,<br>
An’ fur dem I am a-prayin’,<br>
’Weh down Souf;<br>
An’ when I gits sum munny,<br>
Yo’ kin bet I’m goin’, my hunny,<br>
Fur de lan’ dat am so sunny,<br>
’Weh down Souf.<br>
Whil’ de win’ up here’s a-blowin’,<br>
’Weh down Souf<br>
De corn is sweetly growin’,<br>
’Weh down Souf.<br>
Dey tells me here ub freedum,<br>
But I ain’t a-gwine to heed um,<br>
But I’se gwine fur to lebe um.<br>
Fur ’weh down Souf.<br>
I bin up here a’-wuckin’,<br>
From ’weh down Souf,<br>
An’ I ain’t a bin a-shurkin’—<br>
I’m frum ’weh down Souf;<br>
But I’m gittin’ mighty werry,<br>
An’ de days a-gittin’ drerry,<br>
An’ I’m hongry, O, so berry,<br>
Fur my hom’ down Souf.<br>
O, de moon dar shines de brighter,<br>
’Weh down Souf,<br>
An’ I know my heart is lighter,<br>
’Weh down Souf;<br>
An’ de berry thought brings pledjur,<br>
I’ll be happy dar ’dout medjur,<br>
Fur dar I hab my tredjur,<br>
’Weh down Souf.",NEGATIVE,0.8913621306419373<br>
77,https://poets.org/poem/road-bow,The Road To The Bow,James D. Corrothers,"Ever and ever anon,<br>
After the black storm, the eternal, beauteous bow!<br>
Brother, to rosy-painted mists that arch beyond,<br>
Blithely I go.<br>
My brows men laureled and my lyre<br>
Twined with immortal ivy for one little rippling song;<br>
My “House of Golden Leaves” they praised and “passionate fire”—<br>
But, Friend, the way is long!<br>
Onward and onward, up! away!<br>
Though Fear flaunt all his banners in my face,<br>
And my feet stumble, lo! the Orphean Day!<br>
Forward by God’s grace!<br>
These signs are still before me: “Fear,”<br>
“Danger,” “Unprecedented,” and I hear black “No”<br>
Still thundering, and “Churl.” Good Friend, I rest me here—<br>
Then to the glittering bow!<br>
Loometh and cometh Hate in wrath,<br>
Mailed Wrong, swart Servitude and Shame with bitter rue,<br>
Nathless a Negro poet’s feet must tread the path<br>
The winged god knew.<br>
Thus, my true Brother, dream-led, I<br>
Forfend the anathema, following the span.<br>
I hold my head as proudly high<br>
As any man.",POSITIVE,0.938016951084137<br>
78,https://poets.org/poem/when-ol-sis-judy-pray,When Ol’ Sis’ Judy Pray,James Edwin Campbell,"When ol’ Sis’ Judy pray,<br>
De teahs come stealin’ down my cheek,<br>
De voice ur God widin me speak’;<br>
I see myse’f so po’ an’ weak,<br>
Down on my knees de cross I seek,<br>
When ol’ Sis’ Judy pray,<br>
When ol’ Sis’ Judy pray,<br>
De thun’ers ur Mount Sin-a-i<br>
Comes rushin’ down f’um up on high—<br>
De Debbil tu’n his back an’ fly<br>
While sinnahs loud fur pa’don cry,<br>
When ol’ Sis’ Judy pray.<br>
When ol’ Sis’ Judy pray,<br>
Ha’d sinnahs trimble in dey seat<br>
Ter hyuh huh voice in sorro ’peat:<br>
(While all de chu’ch des sob an’ weep)<br>
“O Shepa’d, dese, dy po’ los’ sheep!”<br>
When ol’ Sis’ Judy pray.<br>
When ol’ Sis’ Judy pray,<br>
De whole house hit des rock an’ moan<br>
Ter see huh teahs an’ hyuh huh groan;<br>
Dar’s somepin’ in Sis’ Judy’s tone<br>
Dat melt all ha’ts dough med ur stone<br>
When ol’ Sis’ Judy pray.<br>
When ol’ Sis’ Judy pray,<br>
Salvation’s light comes pourin’ down—<br>
Hit fill de chu’ch an’ all de town—<br>
Why, angels’ robes go rustlin’ ’roun’,<br>
An’ hebben on de Yurf am foun’.<br>
When ol’ Sis Judy pray.<br>
When ol’ Sis’ Judy pray,<br>
My soul go sweepin’ up on wings,<br>
An’ loud de chu’ch wid “Glory!” rings,<br>
An’ wide de gates ur Jahsper swings<br>
Twel you hyuh ha’ps wid golding strings.<br>
When ol’ Sis’ Judy pray.",NEGATIVE,0.9852830171585083<br>
79,https://poets.org/poem/arabic-0,From the Arabic,Ameen Rihani,"Why art thou so hushed and sad,<br>
So thin and wan?<br>
Who robbed thee of thy flesh and song,—<br>
Was it Ramadhan?<br>
Nay, Ramadhan is not to blame,<br>
For I have ceased to fast and pray;<br>
But to my vacant Dwelling came<br>
An unknown Guest—he came to stay.<br>
And in my heart he eats and drinks;<br>
He drinks my blood, of wines the best,<br>
And eats my burning flesh,—ah, yes,<br>
My love for Zahra is that Guest.",POSITIVE,0.9908462166786194<br>
